C.D.S.  -  SIMBAD4 rel 1.7  -  2019.06.04CEST09:05:31

2018ApJ...863...91F2018ApJ...863...91F
--------------------------------------

2018ApJ...863...91F
10.3847/1538-4357/aac76e

Astrophys. J., 863, 91-91 (2018/August-2)
New and known moving groups and clusters identified in a Gaia comoving catalog.
FAHERTY J.K., BOCHANSKI J.J., GAGNE J., NELSON O., COKER K., SMITHKA I.,
DESIR D. and VASQUEZ C.

-Status: waiting for electronic table
-Files: (abstract)

Number of objects : 289

 # 	 obj tags 	obj count	           identifier           	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
---	----------	---------	--------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
129	d         	        1	HD 32264                        	*  	05 01 38.5714655453 -02 43 14.534484950	     ~	 8.46 	 8.30 	     ~	     ~	A1/2V          	   7	   0
130	d         	        1	HD 31949                        	PM*	05 01 45.3177018117 +42 20 39.203384522	     ~	 8.57 	 8.11 	     ~	     ~	F8V            	  24	   0
131	d         	        1	TYC 2899-1744-1                 	PM*	05 04 41.3219594505 +40 24 00.134141575	     ~	11.97 	10.93 	     ~	     ~	~              	   3	   0
132	d         	        1	HD 32721                        	*  	05 05 06.3264049592 -03 40 12.551789256	     ~	 8.55 	 8.39 	     ~	     ~	A2V            	  18	   0
133	d         	        1	HD 33023                        	*  	05 07 11.8778337477 -03 29 46.920460250	     ~	 8.41 	 8.29 	     ~	     ~	A2/3V          	  14	   0
134	d         	        1	WOH S 216                       	PM*	05 16 53.7801043026 -68 21 08.737603101	     ~	14.40 	11.23 	     ~	     ~	M0.5           	   8	   0
135	cd        	        6	NAME 32 Ori group               	OpC	05 27 11.0 +06 16 00                   	     ~	     ~	     ~	     ~	     ~	~              	  25	   0
136	cdx       	        7	NAME 118 Tau group              	Cl*	05 32 24.0 +24 00 00                   	     ~	     ~	     ~	     ~	     ~	~              	   8	   0
137	acd       	        8	NAME Columba Association        	As*	06 14 00.0 -40 03 00                   	     ~	     ~	     ~	     ~	     ~	~              	 174	   0
138	d         	        1	TYC 8534-396-1                  	*  	06 16 55.0257679770 -52 52 25.969417375	     ~	11.71 	10.72 	     ~	     ~	~              	   3	   0
139	d         	        1	V* AO Men                       	BY*	06 18 28.2084971476 -72 02 41.446399943	     ~	11.06 	 9.809	 9.299	 8.456	K4Ve           	 105	   0
140	d         	        1	TYC 8534-211-1                  	*  	06 21 55.0841441452 -52 43 56.430216771	     ~	11.69 	10.85 	     ~	     ~	~              	   3	   0
141	d         	        1	HD 45270                        	PM*	06 22 30.9412022189 -60 13 07.143258224	 7.186	 7.11 	 6.508	     ~	 5.87 	G1V            	  90	   0
142	d         	        1	CD-56 1517                      	*  	06 26 06.2704211180 -56 31 16.389755725	     ~	10.67 	10.04 	     ~	     ~	~              	   3	   0
143	d         	        1	HD 45844                        	*  	06 26 53.7326238325 -53 34 55.069213836	     ~	 8.94 	 8.53 	     ~	     ~	F0V            	  20	   0
144	d         	        1	TYC 8115-252-1                  	*  	06 27 35.3671658398 -50 46 25.556800426	     ~	11.97 	11.28 	     ~	     ~	~              	   3	   0
145	d         	        1	CD-61 1439                      	Ro*	06 39 50.0241378869 -61 28 41.529964006	12.224	11.043	 9.746	 9.11 	 8.223	K7V(e)         	  51	   0
146	d         	        1	HD 56478                        	PM*	07 11 16.9128253923 -70 07 09.989338777	     ~	 7.77 	 6.76 	     ~	     ~	K0III          	  12	   0
147	d         	        1	HD 57039                        	*  	07 16 51.4091689838 -51 35 55.872662050	     ~	 9.83 	 9.43 	     ~	     ~	F2V            	   4	   0
148	d         	        1	HD 57357                        	*  	07 18 10.1278545059 -52 01 57.983257997	     ~	 8.11 	 8.00 	     ~	     ~	A1V            	   3	   0
149	d         	        1	TYC 8127-223-1                  	*  	07 18 31.5151686591 -50 13 11.942035323	     ~	11.33 	10.72 	     ~	     ~	~              	   3	   0
150	d         	        1	HD 57918                        	*  	07 20 39.0176466599 -52 11 55.362888743	     ~	 6.86 	 6.89 	     ~	     ~	F3/5V          	   9	   1
151	d         	        1	TYC 9183-1267-1                 	PM*	07 22 55.6438800822 -69 25 58.245465871	     ~	11.37 	10.80 	     ~	     ~	~              	   2	   0
152	c         	        1	HD 58802                        	*  	07 24 39.3208531260 -49 45 55.172509116	     ~	 9.45 	 9.08 	     ~	     ~	F0IV/V         	   7	   0
153	d         	        1	TYC 8922-1022-1                 	PM*	07 33 57.3076613344 -66 18 46.061625095	     ~	11.02 	10.40 	     ~	     ~	~              	   2	   0
154	d         	        1	TYC 8918-990-1                  	PM*	07 34 47.3329960633 -63 57 31.416952238	     ~	11.35 	10.79 	     ~	     ~	~              	   3	   0
155	dx        	        2	NGC 2451A                       	OpC	07 43 12.0 -38 24 00                   	     ~	     ~	     ~	     ~	     ~	~              	  80	   0
