,cluster,distance
753,NGC_3909,8.11158543480369
754,,26.456642276090342
755,,2.4132597331365657
756,,3.8994775931315684
757,,6.235963584128304
761,,3.170221872347395
762,,2.1988954180711486
763,,3.154272067376719
765,,8.299826818969109
766,,10.256838955247998
767,,10.274415124554816
769,,7.867303416844406
770,FSR_1635,51.74947814148546
771,ABDMG,4.599371656890215
772,,5.315680863845811
773,,13.89369676260454
774,,12.382490240518278
775,,5.782094214633001
776,,9.010656191339079
777,,8.124692992804102
778,,9.74172445679576
779,NGC_3228,45.204339285802604
780,,9.00363900239185
781,,12.126023807560536
782,,3.697364789617516
783,,2.776221299239377
784,,4.028458125106924
785,,11.46076196743706
786,,7.249369767858797
787,,11.471048155664109
788,,9.845544628125419
789,,8.419554804791833
790,,6.425942198567602
791,,10.251508229131645
792,,14.710207533357886
793,,8.604843152367105
794,,4.52050902671504
795,,3.973383494018029
797,CAR,3.4060057449517713
799,,4.24627743462657
801,,11.337666049385778
802,CARN,6.006968105174651
805,THA,7.672394149904631
806,,3.386334833553699
807,,7.529913632851608
808,,2.142950371133596
809,,16.856513539900444
810,,10.51998546146175
811,,7.44182788652301
812,,10.702836162086102
813,,6.666981753754995
815,,5.221743065024411
817,NGC_1641,2841.701014211452
818,,7.7378228768254615
819,,10.716730347916327
820,,12.42422457823077
821,,11.300558405906113
822,,2.190613731168832
823,,9.492092714799739
824,,5.471796781736805
825,,15.113339315056711
826,,8.657122444270662
827,,6.465089474622514
828,,10.385012818765912
829,,2.8618521566600883
830,,4.939854551924632
832,NGC_2132,83.17833899693657
833,,5.69273033223365
834,,12.119342489627183
835,Sco_OB2,6.028806099667062
836,,3.4597295061707443
837,IC_2602,1.1989891152541702e-05
838,,7.390053987957833e-05
839,Loden_306,6.328501969961718e-05
840,,7.372843883308891
841,,6.326929603368769
842,,13.839004952559597
843,,20.205004305267384
844,,6.286603482868094
